Year;Month;GEPU_current;GEPU_ppp
2016;6;242,0548867;235,422312
2016;7;234,3349225;226,5176048
2016;8;143,0904947;146,4387464
2016;9;148,4114764;153,9644643
2016;10;133,4674007;131,2396108
2016;11;249,4603911;240,8446419
2016;12;221,0557802;231,0523251
2017;1;264,0832324;274,5992202
2017;2;200,674559;207,1772762
2017;3;233,8106544;244,9454829
2017;4;179,5832332;180,5569492
2017;5;164,5247261;166,3684239
2017;6;168,9584063;170,8740148
2017;7;147,2038632;148,1286023
2017;8;140,1426624;140,3517289
2017;9;156,2787988;159,9126216
2017;10;148,5552383;153,1757129
2017;11;155,0442731;160,1402775
2017;12;148,6499315;154,3748077
2018;1;150,6203843;146,1047869
2018;2;123,8612843;126,4706551
2018;3;167,3626386;162,2242321
2018;4;155,7968091;160,1255028
2018;5;174,753984;175,1238291
2018;6;176,6961651;176,4072311
2018;7;220,973931;226,9421699
2018;8;178,9669802;188,1276564
2018;9;194,2162124;204,1494852
2018;10;219,4646631;230,3537732
2018;11;244,5307952;258,3507834
2018;12;268,5532213;273,5535829
2019;1;261,0540791;261,7146191
2019;2;204,542152;212,9203287
2019;3;248,8496018;258,7954426
2019;4;190,2427869;201,1772507
2019;5;238,9113753;253,3086832
2019;6;313,6391733;335,3504509
2019;7;259,0559736;267,992871
2019;8;315,3572027;319,8791005
2019;9;272,1562112;289,1776473
2019;10;256,6724742;272,3956793
2019;11;251,519845;266,2508504
2019;12;264,1877925;280,5614766
2020;1;226,9550892;239,1287436
2020;2;228,6507829;234,6411796
2020;3;356,1415715;355,2900311
2020;4;357,9414195;367,0179232
2020;5;430,349294;437,3052328
2020;6;328,4886515;343,5510257
2020;7;351,2257907;351,2281704
2020;8;301,2653311;314,0117855
2020;9;290,2655186;299,9895963
2020;10;306,6787096;310,4287349
2020;11;366,9557799;379,3190116
2020;12;295,0699479;302,1886748
2021;1;276,4764606;289,031054
2021;2;212,6024095;222,0229944
2021;3;212,3500895;221,2855106
2021;4;196,4417277;207,7284475
2021;5;187,6856631;196,8925643
2021;6;176,0897573;186,9849073
2021;7;203,4791227;206,9581018
2021;8;213,0546257;222,7415271
2021;9;202,9449407;208,7081614
2021;10;192,8685039;200,2538397
2021;11;225,7260979;229,9510654
2021;12;263,2470098;270,625964
2022;1;232,9016633;242,2549235
2022;2;189,3146999;202,9593873
2022;3;330,5026682;339,414106
2022;4;299,7889855;323,1946283
2022;5;290,4523951;301,8511623
2022;6;274,7220899;292,3204621
2022;7;315,9620709;326,8031189
2022;8;256,9139486;262,7922554
2022;9;280,669847;289,610062
2022;10;299,774458;307,7537486
2022;11;331,3358109;347,7306503
2022;12;260,4349613;277,4008065
2023;1;251,8932498;262,1343565
2023;2;249,1686826;260,7771203
2023;3;318,9531483;331,0802586
